# energy s(up) s(down) p(up) p(down)
-5.905000000000043769e+00 1.537900580915424031e-05 -1.523659376394246151e-08 1.667176974655552098e-04 -1.356132762088302094e-07
-5.895000000000043983e+00 1.738325448363543080e-05 -2.974831283242437478e-08 1.774540330872182532e-04 -2.165799392058838928e-07
-5.885000000000044196e+00 1.963383363438957988e-05 -4.661292113251173996e-08 1.887120856101599168e-04 -3.244218388300395998e-07
-5.875000000000044409e+00 2.206219887123951054e-05 -7.181849066921747028e-08 2.003733620980836143e-04 -4.716587955972712530e-07
-5.865000000000044622e+00 2.458634029478239187e-05 -1.026452157198504235e-07 2.122746183211851405e-04 -6.666369382989131120e-07
-5.855000000000044835e+00 2.710956097456718059e-05 -1.453161587311042261e-07 2.242309828572851011e-04 -9.333400544453730495e-07
-5.845000000000045048e+00 2.955455672370280838e-05 -2.037798765956031175e-07 2.359604793062565064e-04 -1.294434593421033677e-06
-5.835000000000045262e+00 3.182766120267456082e-05 -2.901721893805390376e-07 2.471971306806303777e-04 -1.782999029630380226e-06
-5.825000000000045475e+00 3.383644733015027687e-05 -4.075838287991242510e-07 2.576578087552545558e-04 -2.445155037478024058e-06
-5.815000000000045688e+00 3.548310888820157524e-05 -5.644606353120687363e-07 2.670826838554175267e-04 -3.310642023230006063e-06
